player_name,position,school,projected_pick,rec_yards,team_pass_attempts,birthdate,age,age_estimated,weight
Nathan Leacock,WR,North Carolina,250,48.0,355.0,2004-11-22,21,FALSE,217.0
Anthony Evans III,WR,Mississippi State,250,831.0,390.0,2005-06-20,20,FALSE,180.0
Jalen Brown,WR,Arkansas,250,167.0,381.0,MISSING,20,TRUE,202.0
Brandon Inniss,WR,Ohio State,250,271.0,408.0,2004-10-07,20,FALSE,199.0
Ryan Niblett,WR,Texas,250,60.0,420.0,2004-11-17,20,FALSE,187.0
Cordale Russell,WR,Miami (OH),250,,356.0,MISSING,20,TRUE,210.0
Ayden Williams,WR,Mississippi State,250,252.0,390.0,MISSING,20,TRUE,205.0
Braylon James,WR,TCU,250,,322.0,MISSING,20,TRUE,190.0
London Humphreys,WR,Georgia,250,276.0,417.0,2005-05-13,20,FALSE,200.0
Tyler Brown,WR,Clemson,250,191.0,474.0,2005-06-14,20,FALSE,
Mikey Matthews,WR,UCLA,250,348.0,361.0,MISSING,20,TRUE,180.0
Antonio Gates Jr.,WR,Delaware State,250,,378.0,2003-10-06,21,FALSE,193.0
C.J. Williams,WR,Stanford,250,757.0,391.0,MISSING,MISSING,MISSING,159.0
Andre Greene Jr.,WR,Virginia,250,7.0,492.0,MISSING,MISSING,MISSING,202.0
Kobe Prentice,WR,Baylor,250,380.0,510.0,2004-03-10,21,FALSE,190.0
Kyion Grayes,WR,California,250,10.0,505.0,MISSING,MISSING,MISSING,190.0
Braylin Presley,WR,Tulsa,250,115.0,409.0,2003-10-24,21,FALSE,170.0
Talyn Shettron,WR,Oklahoma State,250,,365.0,MISSING,MISSING,MISSING,195.0
Tobias Merriweather,WR,Utah,250,130.0,373.0,MISSING,MISSING,MISSING,195.0
Kaleb Brown,WR,UAB,250,255.0,438.0,2003-10-07,21,FALSE,200.0
Jayden McGowan,WR,Charlotte,250,7.0,379.0,MISSING,MISSING,MISSING,180.0
Squirrel White,WR,Florida State,250,52.0,339.0,2004-05-05,21,FALSE,170.0
Jaron Glover,WR,Mississippi State,250,,378.0,MISSING,MISSING,MISSING,205.0
Justus Ross-Simmons,WR,Syracuse,250,312.0,408.0,MISSING,MISSING,MISSING,210.0
Jayden Ballard,WR,Wisconsin,250,150.0,272.0,MISSING,22,TRUE,205.0
Christian Leary,WR,Western Michigan,250,115.0,305.0,MISSING,22,TRUE,180.0
JoJo Earle,WR,UNLV,250,258.0,424.0,2003-04-05,22,FALSE,185.0
Dacari Collins,WR,Louisville,250,219.0,418.0,2002-11-04,22,FALSE,215.0
Cody Jackson,WR,Tarleton State,250,799.0,126.0,MISSING,22,TRUE,200.0
Kyron Ware-Hudson,WR,Penn State,250,288.0,339.0,MISSING,MISSING,MISSING,215.0
Malik McClain,WR,Arizona State,250,441.0,430.0,MISSING,22,TRUE,245.0
Deion Colzie,WR,Miami (OH),250,178.0,368.0,2003-07-28,22,FALSE,211.0
Jerand Bradley,WR,Kansas State,250,184.0,342.0,2002-10-10,22,FALSE,223.0
Andrel Anthony,WR,Duke,250,246.0,506.0,2002-01-07,23,FALSE,186.0
Jayden Thomas,WR,Virginia,250,9.0,492.0,2002-10-18,22,FALSE,220.0
Rara Thomas,WR,Troy,250,629.0,433.0,2002-07-28,23,FALSE,208.0
Cyrus Allen,WR,Cincinnati,219,660.0,363.0,MISSING,22,TRUE,180.0
Jared Brown,WR,South Carolina,250,102.0,342.0,MISSING,22,TRUE,195.0
Jaden Bray,WR,West Virginia,250,95.0,327.0,2002-08-06,23,FALSE,209.0
Joseph Manjack IV,WR,TCU,250,579.0,460.0,MISSING,22,TRUE,190.0
Max Tomzcak,WR,Youngstown State,250,,,MISSING,MISSING,MISSING,185.0
E.J. Williams,WR,Indiana,250,438.0,406.0,MISSING,23,TRUE,203.0
Ja'Mori Maclin,WR,Kentucky,250,189.0,,MISSING,23,TRUE,195.0
Ja'Varrius Johnson,WR,UCF,250,,362.0,2000-10-07,25,FALSE,180.0
Donavon Greene,WR,Virginia Tech,250,267.0,319.0,MISSING,MISSING,MISSING,196.0
Jeremiyah Love,RB,Notre Dame,9,280.0,322.0,2005-05-31,20,FALSE,214.0
Jonah Coleman,RB,Washington,73,354.0,370.0,2003-08-20,22,FALSE,228.0
Jadarian Price,RB,Notre Dame,61,87.0,322.0,2003-10-09,21,FALSE,209.0
Emmett Johnson,RB,Nebraska,74,370.0,378.0,2003-10-10,21,FALSE,200.0
Nick Singleton,RB,Penn State,115,219.0,339.0,2004-01-06,21,FALSE,219.0
Kaytron Allen,RB,Penn State,101,68.0,339.0,2003-01-08,22,FALSE,217.0
Demond Claiborne,RB,Wake Forest,172,140.0,406.0,2003-10-09,21,FALSE,195.0
Mike Washington Jr.,RB,Arkansas,100,226.0,381.0,MISSING,22,TRUE,217.0
Adam Randall,RB,Clemson,190,254.0,474.0,2004-07-14,21,FALSE,230.0
Noah Whittington,RB,Oregon,238,98.0,437.0,MISSING,23,TRUE,203.0
Roman Hemby,RB,Indiana,183,165.0,406.0,2002-08-16,23,FALSE,208.0
C.J. Donaldson,RB,Ohio State,250,96.0,408.0,2004-07-09,21,FALSE,225.0
J'Mari Taylor,RB,Virginia,207,253.0,492.0,2002-03-15,23,FALSE,204.0
Jamarion Miller,RB,Alabama,245,109.0,523.0,2004-04-29,22,FALSE,221.0
Robert Henry Jr.,RB,UTSA,215,114.0,448.0,2001-12-31,24,FALSE,210.0
Max Bredeson,RB,Michigan,250,11.0,340.0,2002-10-04,22,FALSE,250.0
Kentrel Bullock,RB,South Alabama,250,53.0,310.0,MISSING,23,TRUE,205.0
Chip Trayanum,RB,Toledo,250,212.0,399.0,2002-01-02,24,FALSE,233.0
Seth McGowan,RB,Kentucky,191,126.0,367.0,MISSING,23,TRUE,215.0
Le'Veon Moss,RB,Texas A&M,226,3.0,408.0,2002-11-15,22,FALSE,210.0
Dean Connors,RB,Houston,250,254.0,377.0,2003-08-29,22,FALSE,206.0
Rahsul Faison,RB,South Carolina,250,118.0,342.0,2000-02-20,25,FALSE,218.0
Desmond Reid,RB,Pittsburgh,250,317.0,464.0,2004-07-29,21,FALSE,175.0
Kaelon Black,RB,Indiana,182,36.0,406.0,2001-10-17,23,FALSE,210.0
Jaydn Ott,RB,Oklahoma,222,,,2002-12-16,22,FALSE,205.0
Terion Stewart,RB,Virginia Tech,250,19.0,319.0,2001-11-29,23,FALSE,222.0
Jamal Haynes,RB,Georgia Tech,250,257.0,394.0,2002-10-05,22,FALSE,190.0
Rueben Owens,RB,Texas A&M,250,130.0,408.0,2003-10-02,22,FALSE,215.0
Kedrick Reescano,RB,Arizona,250,12.0,447.0,MISSING,MISSING,MISSING,213.0
Djay Braswell,RB,Georgia State,250,17.0,475.0,2004-12-29,21,FALSE,215.0
Quinten Joyner,RB,Texas Tech,250,,486.0,2005-03-03,20,FALSE,205.0
Samuel Singleton Jr.,RB,Florida State,250,,,MISSING,MISSING,MISSING,205.0
Sedrick Alexander,RB,Vanderbilt,250,200.0,400.0,MISSING,MISSING,MISSING,200.0
Kaden Feagin,RB,Illinois,250,188.0,372.0,2004-03-23,21,FALSE,250.0
TreVonte Citizen,RB,McNeese State,250,,,2003-11-11,22,FALSE,225.0
Branson Robinson,RB,Georgia State,250,22.0,475.0,2004-03-17,21,FALSE,211.0
Jaylon Glover,RB,UNLV,250,51.0,424.0,MISSING,21,TRUE,205.0
Savion Red,RB,Sacramento State,250,,308.0,MISSING,21,TRUE,233.0
Andrew Paul,RB,Jacksonville State,250,29.0,328.0,MISSING,21,TRUE,215.0
Richard Reese,RB,Stephen F. Austin,250,94.0,510.0,2004-10-24,20,FALSE,175.0
Armoni Goodwin,RB,UT Martin,250,18.0,443.0,2001-11-16,24,FALSE,195.0
L.J. Johnson Jr.,RB,California,250,,361.0,MISSING,19,TRUE,180.0
Trevion Cooley,RB,Troy,250,,394.0,2002-03-20,24,FALSE,208.0
Derrick Davis Jr.,RB,Pittsburgh,250,,443.0,MISSING,MISSING,MISSING,210.0
Kadarius Calloway,RB,New Mexico State,250,175.0,472.0,MISSING,22,TRUE,220.0
Byron Cardwell,RB,San Diego State,250,108.0,290.0,2003-01-23,23,FALSE,215.0
Barika Kpeenu,RB,North Dakota State,250,211.0,270.0,2002-03-12,24,FALSE,199.0
Alton McCaskill IV,RB,Sam Houston State,250,,,2003-04-10,22,FALSE,205.0
Logan Diggs,RB,Mississippi,250,56.0,523.0,2002-03-17,23,FALSE,215.0
E.J. Smith,RB,Texas A&M,250,18.0,408.0,2002-05-15,23,FALSE,
Roydell Williams,RB,Florida State,250,19.0,339.0,2001-12-08,24,FALSE,221.0
Dominic Richardson,RB,Tulsa,250,130.0,409.0,2001-04-12,25,FALSE,210.0
Jalen Berger,RB,UCLA,250,70.0,361.0,2001-08-30,24,FALSE,215.0
Cam Porter,RB,Northwestern,250,23.0,378.0,MISSING,MISSING,MISSING,215.0
Tyren Montgomery,WR,John Carroll,229,,,MISSING,22,True,
Devin Voisin,WR,South Alabama,250,775.0,310.0,MISSING,22,True,187.0
Michael Wortham,WR,Montana,250,1224.0,,MISSING,22,True,177.0
Kejon Owens,RB,Florida International,250,67.0,429.0,MISSING,22,True,210.0
Curtis Allen,RB,Virginia Union,250,,,MISSING,22,True,
