player_name,position,school,projected_pick,slap_score,delta,draft_capital_score,breakout_score,athletic_score,rec_yards,team_pass_attempts,age,age_estimated,weight
C.J. Williams,WR,Alabama,250,45.0,0.0,45.0,,,,523,MISSING,MISSING,159
Andre Greene Jr.,WR,North Carolina,250,45.0,0.0,45.0,,,,355,MISSING,MISSING,202
Kobe Prentice,WR,Alabama,250,45.0,0.0,45.0,,,,523,21,FALSE,190
Kyion Grayes,WR,California,250,45.0,0.0,45.0,,,10,505,MISSING,MISSING,190
Braylin Presley,WR,Oklahoma State,250,45.0,0.0,45.0,,,,365,21,FALSE,170
Talyn Shettron,WR,Oklahoma State,250,45.0,0.0,45.0,,,,365,MISSING,MISSING,195
Tobias Merriweather,WR,California,250,45.0,0.0,45.0,,,,505,MISSING,MISSING,195
Kaleb Brown,WR,Iowa,250,45.0,0.0,45.0,,,,286,21,FALSE,200
Jayden McGowan,WR,Boston College,250,45.0,0.0,45.0,,,,454,MISSING,MISSING,180
Jaron Glover,WR,Michigan State,250,45.0,0.0,45.0,,,,378,MISSING,MISSING,205
Justus Ross-Simmons,WR,Colorado State,250,45.0,0.0,45.0,,,,394,MISSING,MISSING,210
Jayden Ballard,WR,Ohio State,250,45.0,0.0,45.0,,,,408,22,TRUE,205
Christian Leary,WR,Alabama,250,45.0,0.0,45.0,,,,523,22,TRUE,180
JoJo Earle,WR,Alabama,250,45.0,0.0,45.0,,,,523,22,FALSE,185
Dacari Collins,WR,Clemson,250,45.0,0.0,45.0,,,,474,22,FALSE,215
Cody Jackson,WR,Army,250,45.0,0.0,45.0,,,,126,22,TRUE,200
Kyron Ware-Hudson,WR,Penn State,250,45.0,0.0,45.0,,,288,339,MISSING,MISSING,215
Malik McClain,WR,USC,250,45.0,0.0,45.0,,,,420,22,TRUE,245
Jerand Bradley,WR,Boston College,250,45.0,0.0,45.0,,,,454,22,FALSE,223
Andrel Anthony,WR,Duke,250,45.0,0.0,45.0,,,,506,23,FALSE,186
Jayden Thomas,WR,Georgia Tech,250,45.0,0.0,45.0,,,,394,22,FALSE,220
Rara Thomas,WR,Georgia,250,45.0,0.0,45.0,,,,417,23,FALSE,208
Jared Brown,WR,Coastal Carolina,250,45.0,0.0,45.0,,,,399,22,TRUE,195
Jaden Bray,WR,Oklahoma State,250,45.0,0.0,45.0,,,,365,22,TRUE,209
Joseph Manjack IV,WR,,250,45.0,0.0,45.0,,,,,22,TRUE,
Max Tomzcak,WR,,250,45.0,0.0,45.0,,,,,MISSING,MISSING,
E.J. Williams,WR,Clemson,250,45.0,0.0,45.0,,,,474,23,TRUE,203
Ja'Mori Maclin,WR,,250,45.0,0.0,45.0,,,,,23,TRUE,
Ja'Varrius Johnson,WR,Auburn,250,45.0,0.0,45.0,,,,362,MISSING,MISSING,180
Donavon Greene,WR,Virginia Tech,250,45.0,0.0,45.0,,,267,319,MISSING,MISSING,196
Jalil Farooq,WR,Maryland,250,43.4,-1.6,45.0,41.4,,545,491,23,FALSE,213
Noah Thomas,WR,Georgia,196,42.6,-4.4,47.0,36.9,,254,417,21,FALSE,205
Brandon Inniss,WR,Ohio State,250,42.3,-2.7,45.0,38.9,,271,408,20,FALSE,199
London Humphreys,WR,Georgia,250,42.3,-2.7,45.0,38.8,,276,417,20,FALSE,200
Ayden Williams,WR,Mississippi State,250,42.2,-2.8,45.0,38.6,,252,390,20,TRUE,205
Colbie Young,WR,Georgia,250,42.0,-3.0,45.0,38.2,,358,417,23,FALSE,215
Deion Colzie,WR,Miami (OH),250,40.3,-4.7,45.0,34.2,,178,368,22,TRUE,211
Kaden Wetjen,WR,Iowa,250,40.2,-4.8,45.0,34.0,,151,286,23,FALSE,196
Jaden Greathouse,WR,Notre Dame,250,39.0,-6.0,45.0,31.2,,73,322,20,FALSE,212
Hykeem Williams,WR,Colorado,250,38.8,-6.2,45.0,30.9,,81,356,21,FALSE,220
Nathan Leacock,WR,North Carolina,250,38.3,-6.7,45.0,29.6,,48,355,20,TRUE,217
Ryan Niblett,WR,Texas,250,38.3,-6.7,45.0,29.7,,60,420,20,FALSE,187
Squirrel White,WR,Florida State,250,38.3,-6.7,45.0,29.7,,52,339,21,FALSE,170
Jaquaize Pettaway,WR,East Carolina,250,37.8,-7.2,45.0,28.5,,32,440,20,TRUE,194
