player_name,school,projected_pick,age,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw
Cyrus Allen,Cincinnati,250,22,36.04880524257312,28.79046960395864,35.0,68.9,7.258335638614476,imputed,imputed,
Jalil Farooq,Maryland,250,23,36.0474290293325,28.79046960395864,34.9931189337969,68.9,7.256959425373857,imputed,imputed,
Malik Benson,Oregon,250,22,35.874404781259045,28.79046960395864,34.12799769342966,68.9,7.083935177300404,imputed,imputed,
Tyler Brown,Clemson,250,20,35.837286212596695,28.79046960395864,33.94240485011788,68.9,7.0468166086380535,imputed,imputed,
Jeff Caldwell,Cincinnati,250,MISSING,35.7153643427022,28.79046960395864,33.3327955006454,68.9,6.924894738743561,imputed,imputed,
Jaden Greathouse,Notre Dame,250,20,35.582979795675115,28.79046960395864,32.67087276550998,68.9,6.792510191716474,imputed,imputed,
Harrison Wallace III,Ole Miss,250,22,35.57450082358785,28.79046960395864,32.62847790507365,68.9,6.784031219629206,imputed,imputed,
Trebor Pena,Penn State,250,23,35.56202787479944,28.79046960395864,32.56611316113161,68.9,6.771558270840799,imputed,imputed,
Rara Thomas,Troy,250,23,35.37255054813816,28.79046960395864,31.618726527825196,68.9,6.582080944179516,observed,imputed,23.0
J.Michael Sturdivant,Florida,250,22,35.36923973001372,28.79046960395864,31.602172437202984,68.9,6.578770126055076,imputed,imputed,
Jayden Ballard,Wisconsin,250,22,35.187337788558324,28.79046960395864,30.692662729926017,68.9,6.396868184599683,imputed,imputed,
Kobe Prentice,Baylor,250,21,35.00716932888406,28.79046960395864,29.791820431554726,68.9,6.2166997249254194,imputed,imputed,
Mikey Matthews,UCLA,250,20,34.99101513623933,28.79046960395864,29.711049468331026,68.9,6.200545532280685,imputed,imputed,
Romello Brinson,SMU,250,22,34.936347048593184,28.79046960395864,29.437709030100336,68.9,6.145877444634543,imputed,imputed,
E.J. Williams,Indiana,250,23,34.88276747306169,28.79046960395864,29.169811152442882,68.9,6.092297869103049,imputed,imputed,
Dillon Bell,Georgia,250,22,34.607265384971555,28.79046960395864,27.792300711992183,68.9,5.816795781012914,imputed,imputed,
Joseph Manjack IV,TCU,250,22,34.584206992772,28.79046960395864,27.677008750994432,68.9,5.793737388813362,imputed,imputed,
Donavon Greene,Virginia Tech,250,MISSING,34.56295118150982,28.79046960395864,27.570729694683486,68.9,5.772481577551176,imputed,imputed,
Kyron Ware-Hudson,Penn State,250,MISSING,34.479617050691196,28.79046960395864,27.154059040590404,68.9,5.689147446732555,imputed,imputed,
Ayden Williams,Mississippi State,250,20,34.3844613541544,28.79046960395864,26.678280557906422,68.9,5.593991750195762,imputed,imputed,
Barion Brown,LSU,250,21,34.33164706562942,28.79046960395864,26.4142091152815,68.9,5.541177461670777,imputed,imputed,
Jaron Glover,Michigan State,250,MISSING,34.320931282372065,28.79046960395864,26.36063019899474,68.9,5.530461678413424,imputed,imputed,
London Humphreys,Georgia,250,20,34.14403715953711,28.79046960395864,25.47615958481998,68.9,5.353567555578472,imputed,imputed,
Andrel Anthony,Duke,250,23,34.13516319000741,28.79046960395864,25.431789737171464,68.9,5.34469358604877,imputed,imputed,
Malik McClain,Arizona State,250,22,34.065311432394296,28.79046960395864,25.082530949105916,68.9,5.274841828435655,imputed,imputed,
Max Tomzcak,Northern Illinois,250,MISSING,34.04880524257312,28.79046960395864,25.0,68.9,5.258335638614476,imputed,imputed,
Cordale Russell,Colorado,250,20,33.998011591779466,28.79046960395864,24.746031746031743,68.9,5.207541987820825,imputed,imputed,
Jerand Bradley,Kansas State,250,22,33.93302559738171,28.79046960395864,24.421101774042953,68.9,5.142555993423066,imputed,imputed,
Kaleb Brown,UAB,250,21,33.84893075245702,28.79046960395864,24.00062754941952,68.9,5.058461148498381,imputed,imputed,
Kaden Wetjen,Iowa,250,23,33.69353030078555,28.79046960395864,23.223625291062152,68.9,4.9030606968269055,imputed,imputed,
Brandon Inniss,Ohio State,250,20,33.67960054580517,28.79046960395864,23.15397651616027,68.9,4.889130941846531,imputed,imputed,
Chris Hilton,LSU,250,22,33.678292898353455,28.79046960395864,23.147438278901685,68.9,4.8878232943948134,imputed,imputed,
Colbie Young,Georgia,250,23,33.61001185950468,28.79046960395864,22.806033084657802,68.9,4.81954225554604,imputed,imputed,
Jalen Brown,Arkansas,250,20,33.48721469366086,28.79046960395864,22.1920472554387,68.9,4.696745089702219,imputed,imputed,
Dacari Collins,Louisville,250,22,33.36795912448851,28.79046960395864,21.59576940957694,68.9,4.577489520529866,imputed,imputed,
Jared Brown,South Carolina,250,22,33.36724632283678,28.79046960395864,21.592205401318278,68.9,4.576776718878136,imputed,imputed,
Deion Colzie,Miami (OH),250,22,33.31591162746117,28.79046960395864,21.335531924440257,68.9,4.525442023502528,imputed,imputed,
Talyn Shettron,Oklahoma State,250,MISSING,33.274761276463664,28.79046960395864,21.129780169452715,68.9,4.484291672505023,imputed,imputed,
Braylin Presley,Tulsa,250,21,33.14618351972668,28.79046960395864,20.48689138576779,68.9,4.355713915768035,imputed,imputed,
Antonio Gates Jr.,Michigan State,250,21,33.10966745728149,28.79046960395864,20.304311073541843,68.9,4.319197853322848,imputed,imputed,
JoJo Earle,UNLV,250,22,32.783429388359,28.79046960395864,18.673120728929383,68.9,3.9929597844003553,imputed,imputed,
Christian Leary,Western Michigan,250,22,32.64189446382118,28.79046960395864,17.96544610624033,68.9,3.85142485986254,imputed,imputed,
Tobias Merriweather,Utah,250,MISSING,32.51045296984584,28.79046960395864,17.308238636363637,68.9,3.7199833658872024,imputed,imputed,
Raymond Cottrell,Texas A&M,250,20,32.5024037274216,28.79046960395864,17.267992424242426,68.9,3.71193412346296,imputed,imputed,
Jaden Bray,West Virginia,250,23,32.468046195794656,28.79046960395864,17.09620476610768,68.9,3.677576591836015,imputed,imputed,
Hykeem Williams,Colorado,250,21,32.38172756069889,28.79046960395864,16.66461159062885,68.9,3.5912579567402503,imputed,imputed,
Andre Greene Jr.,Virginia,250,MISSING,32.31809199657603,28.79046960395864,16.346433770014556,68.9,3.5276223926173884,imputed,imputed,
Nathan Leacock,North Carolina,250,21,32.266295047738495,28.79046960395864,16.087449025826913,68.9,3.475825443779854,imputed,imputed,
Ryan Niblett,Texas,250,20,32.232910796423994,28.79046960395864,15.920527769254372,68.9,3.4424411924653526,imputed,imputed,
Squirrel White,Florida State,250,21,32.219801625341944,28.79046960395864,15.85498191384413,68.9,3.4293320213833027,imputed,imputed,
Jaquaize Pettaway,East Carolina,250,20,32.13907322564787,28.79046960395864,15.451339915373765,68.9,3.3486036216892288,imputed,imputed,
Kyion Grayes,California,250,MISSING,32.11424248231137,28.79046960395864,15.327186198691255,68.9,3.3237728783527274,imputed,imputed,
Braylon James,Notre Dame,250,20,32.08624674023302,28.79046960395864,15.187207488299531,68.9,3.2957771362743813,imputed,imputed,
Jayden McGowan,Charlotte,250,MISSING,32.07740001381495,28.79046960395864,15.142973856209151,68.9,3.2869304098563106,imputed,imputed,
Jayden Thomas,Virginia,250,22,32.07568696300322,28.79046960395864,15.134408602150538,68.9,3.28521735904458,imputed,imputed,
